Instrument,Price
SPX_CALL_44D_K85,15.315880593823708
SPX_CALL_44D_K90,10.898885501163882
SPX_CALL_44D_K95,7.0792521079056225
SPX_CALL_44D_K100,4.100005225239743
SPX_CALL_44D_K105,2.0739399848478204
SPX_CALL_44D_K110,0.9016163326384921
SPX_CALL_44D_K115,0.3334814350632114
SPX_CALL_79D_K85,15.926344474558377
SPX_CALL_79D_K90,11.841000952607823
SPX_CALL_79D_K95,8.303269177997432
SPX_CALL_79D_K100,5.437672550532057
SPX_CALL_79D_K105,3.2971623259323755
SPX_CALL_79D_K110,1.8414414769695682
SPX_CALL_79D_K115,0.9472887401930136
VIX_FUTURE_49D,29.29838238817707
VIX_CALL_49D_K15,14.342600809226335
VIX_CALL_49D_K20,9.576230313133257
VIX_CALL_49D_K25,5.421205067117302
VIX_CALL_49D_K30,2.4330241481595034
VIX_CALL_49D_K35,0.811555820284418
SINGULAR_CONTRACT_79D,0.0
